Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1660692847.951346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660692848.4301052,-34581.63554449505,-36403.3921245804,-44954.14137293594,-38939.06342256825,-38894.87402378011,-38726.923015942935,-44300.39755110712,187500.0
1660692848.430236,-34630.56351310772,-36262.956114167704,-44589.025627258496,-38844.4708400334,-38806.42817097047,-38528.238359479714,-44718.66574509928,187500.0
1660692848.4302473,-34472.89430771999,-36619.10881031857,-44919.831445197044,-38600.613308026,-38530.406478691875,-38471.956666941245,-44600.626182630804,187500.0
1660692848.430258,-34067.45601504517,-36475.11887253748,-44879.19597377729,-38555.46278422628,-38503.27146092313,-38778.53319389024,-44594.68061860569,187500.0
1660692848.4302676,-34222.01832795362,-36452.52125889317,-44776.10972834942,-38615.45486634432,-38715.1883501039,-38844.247322588846,-44467.27567521044,187500.0
1660692848.4302776,-34312.81111393108,-36599.84160659809,-44999.76128336922,-38487.15585317086,-38524.05858326657,-38572.33835129003,-44267.026396635345,187500.0
1660692848.4302871,-34045.21602931214,-36603.2390717553,-45063.46375506685,-38486.574707815016,-38463.150079625855,-38558.70378717229,-44156.36290983712,187500.0
1660692848.4302967,-33717.04771721932,-36443.22293319976,-44842.382650659405,-38702.02317261972,-38647.03788125967,-38673.54705018366,-44151.35611907913,187500.0
1660692848.430306,-34269.00169479867,-36243.59950346941,-44574.832269529375,-38713.154341358466,-38661.275942477696,-38627.59186358355,-43722.001459837134,187500.0
1660692848.430328,-34268.97934305422,-36063.444443159635,-44405.67426749162,-38819.0122030988,-38683.96296309984,-38707.05231512217,-43556.531495634496,187500.0
1660692848.4303372,-34397.18894924986,-36001.5971662518,-44608.13636876779,-38609.486950574756,-38460.914905180325,-38455.48343127769,-43820.505597651674,187500.0
1660692848.4303474,-33974.67392381119,-36123.30241481095,-44887.51082271467,-38323.31756631345,-38183.88738440125,-38123.56002611638,-44636.59013945939,187500.0
1660692848.4303567,-33679.69795223451,-35865.51974600789,-44484.68768414112,-38477.94693445527,-38329.46429603866,-38233.12827743629,-44828.6810313083,187500.0
1660692848.430366,-33893.09005654932,-35908.14452268416,-44365.01644432741,-38439.27841654759,-38264.51012665154,-38396.5642328935,-44562.896437990246,187500.0
1660692848.4303753,-33961.978132960576,-36189.6423923543,-44747.812419869,-38319.33895580041,-38114.61932833425,-38248.19335319917,-44200.03821850279,187500.0
1660692848.4303849,-33477.39231316952,-36076.78843459945,-44529.882911429755,-38485.65828629235,-38229.931977979184,-38195.80086419593,-44237.1421142986,187500.0
1660692848.430394,-33770.915421356614,-35910.983194229986,-44264.7465187009,-38353.22420039466,-38142.38019494774,-38213.302280104435,-44020.28548959321,187500.0
1660692848.4304032,-33977.713761057115,-35932.95495902955,-44184.816680528726,-38309.705353940175,-38066.02663588842,-38258.318693437424,-43967.669483145415,187500.0
1660692848.430412,-33307.98844194275,-35510.59639580207,-44171.00330245535,-38491.894422995385,-38273.7861006005,-38444.01698637212,-44221.22767224642,187500.0
1660692848.4304216,-33858.46720438805,-35469.78211042668,-44115.0121825948,-38244.90764676424,-38143.85541008179,-38270.47804242111,-44123.39408676554,187500.0
1660692848.430431,-33797.42459028061,-35981.88292764222,-44399.48283427749,-37913.00659334738,-37946.869486197174,-38067.16657485564,-43903.65408702542,187500.0
1660692848.430446,-33702.09440017872,-36039.103393447804,-44302.878594741655,-37905.74227639941,-38000.11134148972,-38150.2033055071,-43793.77291128313,187500.0
1660692848.4304554,-33729.34117666974,-35676.222822215896,-44183.65438981705,-37937.52645701486,-38037.729327408,-38129.79616281941,-43844.421964218855,187500.0
1660692848.4304645,-33819.39635508017,-35906.04345870536,-44451.78591630291,-37740.83110580815,-37759.91949557298,-37815.84356020016,-43634.002641916595,187500.0
1660692848.4304736,-33484.567223139675,-35755.54916328778,-44262.980730888936,-37853.21567692944,-37913.83360789223,-37912.470151480455,-43693.50298565662,187500.0
1660692848.430483,-33547.77795645928,-35643.67868228897,-44107.79256913574,-37921.34379402921,-38020.58553941078,-37906.45753222198,-43535.02911746849,187500.0
1660692848.4304922,-33669.9972951409,-35729.50938099735,-43851.44041197782,-37823.08552540369,-38003.709972347024,-38008.247376471445,-43349.77785942291,187500.0
1660692848.4305015,-33430.92303644693,-35237.01104366911,-43838.02936530464,-37712.64555605001,-37919.332137028236,-38098.12374092624,-43946.56943637961,187500.0
1660692848.4305105,-33276.87481366096,-34902.7854088289,-43959.64520688596,-37836.273054632315,-37950.9598554325,-38074.63205750371,-43788.47554784722,187500.0
1660692848.4305196,-33296.521997037176,-35476.50998550773,-44070.88983904003,-37800.77848443729,-37858.021301987326,-37979.23481216846,-43366.63107474221,187500.0
1660692848.4305289,-33153.98492264568,-35727.29655829627,-44140.493171273854,-37551.17655410487,-37615.90720604744,-37683.07419813564,-43898.75905498971,187500.0
1660692848.4305377,-33197.28025165561,-35504.69553526587,-43905.28576437065,-37523.23687353574,-37643.332796494105,-37657.05676758966,-43784.362826867444,187500.0
