Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1660693639.6044817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660693640.0877664,10470.764097066414,7411.234964279529,308.45407348323744,6170.824905732264,6344.408553172178,5420.029809478499,-2501.3390185045027,187500.0
1660693640.0879352,10428.63105876816,7411.257316023984,309.437550239271,6177.239856390936,6348.431867174133,5417.816986777424,-2502.7024749162765,187500.0
1660693640.0879457,10470.965262766513,7403.613019420269,300.78742513506717,6167.270978363869,6338.910024036172,5418.487539111083,-2502.3895504939023,187500.0
1660693640.0879562,10451.228672412477,7406.809318877378,302.66497166931293,6194.361292643702,6346.420210173155,5419.761588545035,-2500.1096725594607,187500.0
1660693640.0879657,10451.966279979502,7406.675208410646,302.307343758028,6195.814156033297,6382.78649840194,5417.0346757214875,-2500.646114426388,187500.0
1660693640.0879765,10459.40941088312,7410.94439160161,305.86127112642185,6152.496475278911,6337.300698435391,5419.31455365593,-2499.7296929037207,187500.0
1660693640.0879858,10476.374384924697,7413.1348625582295,306.86709962691066,6173.641225533632,6328.292945419901,5418.755760044546,-2500.042617326095,187500.0
1660693640.0879953,10437.772922250382,7414.5430224589145,307.9623351052207,6209.672237595587,6348.230701474035,5417.816986777424,-2501.5401842046003,187500.0
1660693640.0880046,10376.126811042644,7410.072673567853,306.308306015528,6185.353539628213,6338.641803102709,5419.605126333849,-2497.8297946250195,187500.0
1660693640.088014,10471.814629055814,7406.5634496883695,303.1343583028744,6185.5770570727655,6334.618489100753,5419.493367611572,-2496.980428335718,187500.0
1660693640.0880237,10456.727201548481,7409.580935189836,306.4200647378045,6172.41187958859,6347.49309390701,5420.83447227889,-2496.9357248468073,187500.0
1660693640.088049,10474.876818046192,7411.6149439352685,309.59401245045814,6183.900676238618,6339.379410669734,5420.387437389784,-2497.561573691556,187500.0
1660693640.0880585,10464.751477807937,7413.7830631474335,312.27622178509495,6183.140716927138,6339.982907770027,5422.242632179575,-2495.751082390676,187500.0
1660693640.0880675,10448.993497966945,7411.883164868733,311.89624212935473,6169.327338853757,6336.384276912722,5420.342733900873,-2495.30404750157,187500.0
1660693640.0880768,10475.83794305777,7407.837499122322,308.2976112720503,6183.543048327333,6340.094666492304,5418.68870481118,-2495.9969515796843,187500.0
