Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1652215402.629669,-86440.16372444198,-15054.570442982966,-15676.887712107626,-16123.788490747034,-181821.49461764033,-187500.02235174447,-184429.4738089411,-187500.02235174447
1652215402.62968,-86418.21431138687,-15053.475207504656,-15675.524255695851,-16122.536793057538,-181822.47809439639,-187500.02235174447,-184430.2784717415,-187500.02235174447
1652215402.637688,-86380.37280802403,-15051.59766097041,-15673.356136483686,-16120.458080823193,-181822.54514962973,-187500.02235174447,-184430.30082348597,-187500.02235174447
1652215402.637705,-86394.58851749761,-15048.781341169042,-15670.271595748854,-16117.530002299549,-181821.7181350849,-187500.02235174447,-184429.4291054522,-187500.02235174447
1652215402.644578,-86422.72936376683,-15045.540338223022,-15666.605909658183,-16114.132537142343,-181820.3099751842,-187500.02235174447,-184427.9762420626,-187500.02235174447
1652215402.651633,-86407.7983984707,-15042.768721910565,-15663.454313689985,-16111.226810363152,-181819.55001587272,-187500.02235174447,-184427.2386344956,-187500.02235174447
1652215402.651641,-86364.39131073849,-15039.840643386919,-15660.168607255055,-16108.142269628319,-181818.49948388332,-187500.02235174447,-184426.1881025062,-187500.02235174447
1652215402.659175,-86365.6877119169,-15037.06902707446,-15657.106418264679,-16105.28124633804,-181817.7171728274,-187500.02235174447,-184425.31638447242,-187500.02235174447
1652215402.659185,-86401.42815130093,-15033.805672383985,-15653.507787407374,-16101.883781180833,-181816.5101786268,-187500.02235174447,-184423.86352108282,-187500.02235174447
1652215402.667349,-86397.69540997689,-15031.123463049349,-15650.535005394819,-16098.933350912734,-181815.83962629316,-187500.02235174447,-184423.19296874918,-187500.02235174447
1652215402.667363,-86352.58958966608,-15028.553012436989,-15647.517519893352,-16096.117031111364,-181815.10201872612,-187500.02235174447,-184422.45536118216,-187500.02235174447
1652215402.675282,-86344.20768549535,-15026.809576369475,-15645.438807659008,-16094.351243299396,-181815.2584809373,-187500.02235174447,-184422.54476815998,-187500.02235174447
1652215402.675291,-86382.138595836,-15026.675465902743,-15645.036476258812,-16094.083022365932,-181817.18073096048,-187500.02235174447,-184424.3329077164,-187500.02235174447
1652215402.681865,-86387.23479357181,-15022.853317600886,-15640.990810512401,-16090.216170575164,-181815.39259140403,-187500.02235174447,-184422.54476815998,-187500.02235174447
1652215402.681875,-86344.878237829,-15019.411148954769,-15637.146310466089,-16086.595187973404,-181813.91737627,-187500.02235174447,-184421.024849537,-187500.02235174447
1652215402.689911,-86332.4283161674,-15018.673541387743,-15635.984019754413,-16085.723469939647,-181815.03496349277,-187500.02235174447,-184422.2765472265,-187500.02235174447
1652215402.689923,-86363.1843165379,-15017.108919275872,-15634.039417986802,-16083.980033872132,-181815.4149431485,-187500.02235174447,-184422.58947164888,-187500.02235174447
1652215402.697889,-86377.95881962286,-15014.940800063707,-15631.670133074538,-16081.767211171058,-181815.39259140403,-187500.02235174447,-184422.54476815998,-187500.02235174447
1652215402.697897,-86338.50799065924,-15011.476279673134,-15627.847984772681,-16078.079173335931,-181813.9620797589,-187500.02235174447,-184421.024849537,-187500.02235174447
1652215402.704188,-86310.61301357902,-15009.68814011671,-15625.679865560516,-16076.112219823865,-181814.02913499228,-187500.02235174447,-184421.00249779256,-187500.02235174447
1652215402.711534,-86337.63627262549,-15007.810593582464,-15623.467042859442,-16074.167618056254,-181814.14089371456,-187500.02235174447,-184421.11425651482,-187500.02235174447
1652215402.711543,-86360.63621766999,-15003.87668655833,-15619.287266646299,-16070.099600565387,-181812.33040241367,-187500.02235174447,-184419.25906172505,-187500.02235174447
1652215402.719645,-86332.0706882561,-15003.094375502395,-15618.080272445712,-16069.116123809354,-181813.5150448698,-187500.02235174447,-184420.26489022552,-187500.02235174447
1652215402.719657,-86298.5207198287,-15002.53558189101,-15617.14149917859,-16068.356164497873,-181814.9232047705,-187500.02235174447,-184421.53893965948,-187500.02235174447
1652215402.727533,-86316.75974330422,-14999.20517196717,-15613.542868321285,-16065.025754574031,-181813.64915533652,-187500.02235174447,-184420.39900069227,-187500.02235174447
1652215402.727542,-86349.95208382036,-14998.422860911234,-15612.447632842976,-16064.198740029186,-181814.99026000386,-187500.02235174447,-184421.65069838177,-187500.02235174447
1652215402.734137,-86326.16982771992,-14994.82423005393,-15608.558429307752,-16060.398943471784,-181813.44798963642,-187500.02235174447,-184419.9296140587,-187500.02235174447
1652215402.734146,-86287.72482725678,-14993.125497475326,-15606.457365328952,-16058.521396937538,-181813.78326580327,-187500.02235174447,-184420.24253848108,-187500.02235174447
1652215402.742192,-86301.0688186966,-14991.270302685536,-15604.289246116788,-16056.576795169925,-181813.89502452553,-187500.02235174447,-184420.28724196999,-187500.02235174447
1652215402.7422,-86329.16496147693,-14987.358747405857,-15599.99771118137,-16052.397018956784,-181811.8163122912,-187500.02235174447,-184418.3202884579,-187500.02235174447
1652215402.750317,-86317.11737121551,-14984.833000282408,-15597.047280913268,-16049.625402644326,-181811.2575186798,-187500.02235174447,-184417.85090182436,-187500.02235174447
1652215402.750328,-86273.12913812746,-14981.815514780941,-15593.716870989427,-16046.518510165039,-181810.29639366822,-187500.02235174447,-184416.7780180905,-187500.02235174447
1652215402.757514,-86272.39153056045,-14979.401526379768,-15591.03466165479,-16044.015114786043,-181809.84935877912,-187500.02235174447,-184416.1745209902,-187500.02235174447
1652215402.757532,-86310.38949613446,-14978.261587412548,-15589.537094776286,-16042.763417096547,-181810.74342855735,-187500.02235174447,-184417.04623902397,-187500.02235174447
1652215402.763877,-86308.2213769223,-14975.802895522464,-15586.787830208283,-16040.192966484186,-181810.38580064607,-187500.02235174447,-184416.6662593682,-187500.02235174447
1652215402.77187,-86263.29437056714,-14972.472485598622,-15583.099792373157,-16036.706094349158,-181809.02234423428,-187500.02235174447,-184415.3251547009,-187500.02235174447
1652215402.77188,-86253.77252742917,-14972.181912920703,-15582.406888295041,-16036.147300737775,-181810.6540215795,-187500.02235174447,-184416.91212855725,-187500.02235174447
1652215402.779814,-86287.97069644579,-14968.829151252408,-15578.651795226551,-16032.83924255839,-181809.49173086786,-187500.02235174447,-184415.5710238899,-187500.02235174447
1652215402.779824,-86297.22431865029,-14966.415162851235,-15575.94723414746,-16030.224088457118,-181809.0670477232,-187500.02235174447,-184415.19104423418,-187500.02235174447
1652215402.786949,-86256.03005361916,-14963.129456416305,-15572.348603290155,-16026.737216322092,-181807.83770177816,-187500.02235174447,-184413.9169948002,-187500.02235174447
1652215402.786957,-86241.03203308965,-14962.101276171361,-15570.940443389469,-16025.485518632595,-181808.77647504528,-187500.02235174447,-184414.7663610895,-187500.02235174447
1652215402.794515,-86270.46928053729,-14960.335488359391,-15568.705268943939,-16023.518565120527,-181808.97764074538,-187500.02235174447,-184414.90047155626,-187500.02235174447
1652215402.794525,-86287.05427492312,-14959.776694748009,-15567.833550910182,-16022.89271627578,-181810.4528558794,-187500.02235174447,-184416.24157622358,-187500.02235174447
1652215402.802447,-86251.44794600582,-14957.586223791388,-15565.285452042277,-16020.590486596882,-181810.3187454127,-187500.02235174447,-184416.04041052348,-187500.02235174447
1652215402.802456,-86219.48495143473,-14953.406447578247,-15560.83745489567,-16016.366006894828,-181808.17297794498,-187500.02235174447,-184413.89464305577,-187500.02235174447
1652215402.810509,-86242.57430345706,-14949.651354509755,-15556.657678682528,-16012.387396381784,-181806.5189488553,-187500.02235174447,-184412.1735587327,-187500.02235174447
1652215402.810519,-86269.21758284779,-14947.282069597491,-15554.042524581257,-16009.9287044917,-181806.2507279218,-187500.02235174447,-184411.99474477707,-187500.02235174447
1652215402.817053,-86241.79199240112,-14945.181005618693,-15551.583832691174,-16007.648826557259,-181806.09426571065,-187500.02235174447,-184411.86063431035,-187500.02235174447
