CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
-6628.320411243488,-6675.549647277552,-6653.019088866603,-6711.200679683767,-125795.55073923478,-147003.82465169724,-125150.34528378789,-146311.7922916165
-6634.310678757511,-6679.014167668124,-6654.740173189661,-6711.714769806239,-125795.14840783458,-147002.70706447447,-125147.57366747543,-146307.9924950591
-6625.2805739975665,-6672.018071653613,-6648.9957748646475,-6706.886793003892,-125791.97446012193,-147000.2483725844,-125146.12080408583,-146307.3442944699
-6615.646972137329,-6665.2231413392,-6644.056039340025,-6703.310513891043,-125790.70041068798,-146999.82368943974,-125147.43955700869,-146309.87004159333
-6621.324315228977,-6669.380565807887,-6647.0064696081245,-6705.61274356994,-125793.0920473447,-147001.58947725172,-125148.37833027582,-146310.11591078233
-6630.466178711197,-6675.594350766462,-6651.186245821267,-6708.5184703491295,-125794.88018690112,-147002.43884354102,-125147.35015003088,-146307.8360328479
-6624.878242597371,-6671.235760597678,-6647.542911475052,-6705.366874380931,-125792.98028862242,-147000.8518696847,-125146.45608025267,-146307.45605319215
-6611.556602902008,-6661.043365126057,-6639.652745682329,-6698.862516744437,-125789.00167810937,-146997.8567359277,-125145.49495524108,-146307.85838459234
-6618.396236705332,-6666.966577406714,-6645.151274818334,-6704.048121458069,-125794.63431771212,-147003.26585808586,-125150.36763553234,-146312.4851956946
-6630.108550799912,-6675.482592044186,-6651.3427080324545,-6708.674932560317,-125798.21059682497,-147005.72454997594,-125150.94878088818,-146311.65818114975
-6624.766483875094,-6670.475801286198,-6646.537082974563,-6704.025769713613,-125794.25433805637,-147001.81299469626,-125147.2383913086,-146307.97014331463
-6613.232983736156,-6662.317414560011,-6640.45740848272,-6699.600124311462,-125792.57795722222,-147001.16479410706,-125148.44538550919,-146310.71940788263
-6613.903536069815,-6663.189132593767,-6641.485588727664,-6700.51654583413,-125794.41080026756,-147003.13174761913,-125150.56880123244,-146312.70871313915
-6624.654725152818,-6670.8334291974825,-6646.872359141393,-6704.383397624898,-125797.0930096022,-147004.80812845327,-125150.3899872768,-146311.07703579392
-6627.247527509633,-6672.755679220639,-6648.347574275444,-6705.679798803306,-125798.61292822516,-147006.1045296317,-125151.2393535661,-146311.70288463865
-6614.283515725555,-6663.010318638125,-6640.859739882915,-6699.577772567007,-125795.10370434567,-147003.53407901933,-125150.70291169918,-146312.52989918352
-6610.863698823893,-6660.573978492496,-6639.116303815402,-6698.236667899689,-125795.14840783458,-147003.93641041953,-125151.6416849663,-146313.8933555953
-6622.2854402405555,-6668.911179174326,-6645.397144007343,-6702.9975894686695,-125799.03761136981,-147006.7527302209,-125152.71456870015,-146313.64748640626
-6625.302925742022,-6670.632263497385,-6646.090048085457,-6703.198755168767,-125798.94820439199,-147006.21628835396,-125151.30640879947,-146311.5911259164
-6615.646972137329,-6663.837333182971,-6641.284423027566,-6699.80129001156,-125797.83061716922,-147006.12688137614,-125152.7369204446,-146314.3850939733
-6610.997809290625,-6660.84219942596,-6639.4292282377755,-6698.795461511071,-125798.56822473624,-147007.42328255455,-125155.12855710133,-146317.60374517486
-6619.469120439187,-6666.765411706617,-6643.407838750821,-6701.477670845708,-125800.53517824832,-147008.51851803286,-125154.81563267895,-146316.06147480744
-6622.598364662929,-6668.0171093961135,-6643.050210839536,-6700.114214433935,-125798.63527996962,-147005.85866044267,-125150.79231867699,-146311.1440910273
-6610.483719168154,-6658.227045324689,-6634.981231091169,-6693.162821908334,-125793.76259967836,-147001.76829120735,-125148.06540585344,-146309.35595147085
-6601.855945808405,-6651.767391177105,-6630.242661266645,-6689.608894539941,-125792.28738454431,-147001.12009061815,-125148.91477214274,-146311.27820149402
-6608.4944139116305,-6656.438905768265,-6633.371905490388,-6691.79936549656,-125794.05317235627,-147002.41649179655,-125148.87006865384,-146310.3841317158
-6618.351533216422,-6663.703222716239,-6638.736324159661,-6695.912086476337,-125797.33887879121,-147004.78577670883,-125149.60767622087,-146309.8923933378
-6609.097911011924,-6656.237740068167,-6632.477835712175,-6690.547667807063,-125793.53908223381,-147001.36595980715,-125147.2383913086,-146308.283067737
-6598.59259111793,-6648.504036486631,-6626.934603087259,-6686.2114293827335,-125791.72859093292,-147000.47189002894,-125148.06540585344,-146310.40648346025
-6605.812204576994,-6654.382545278376,-6631.784931634061,-6690.480612573697,-125796.0424776128,-147004.450500542,-125151.21700182164,-146312.9322305837
-6615.2446407371335,-6660.84219942596,-6635.987059591658,-6693.319284119521,-125797.87532065813,-147005.23281159793,-125150.23352506562,-146310.540593927
-6607.220364477678,-6653.801399922539,-6629.639164166351,-6687.3290166054985,-125792.98028862242,-147000.6507039846,-125146.09845234138,-146306.9419630697
-6594.412814904787,-6644.279556784578,-6622.2854402405555,-6681.472859558208,-125789.7392856764,-146998.41552953905,-125145.91963838573,-146308.01484680353
-6598.59259111793,-6647.7664289196055,-6625.4593879532085,-6684.400938081853,-125793.15910257807,-147001.6565324851,-125148.91477214274,-146310.76411137154
-6609.276724967566,-6655.164856334312,-6630.64499266684,-6688.044272428068,-125795.66249795706,-147003.01998889685,-125148.35597853137,-146308.8418613484
-6606.370998188377,-6652.437943510765,-6627.9851350766585,-6685.429118326798,-125793.65084095608,-147001.14244236262,-125146.36667327484,-146306.87490783632
-6593.854021293405,-6643.229024795178,-6621.190204762245,-6680.08705140198,-125791.01333511036,-146999.3990062951,-125146.76900467504,-146308.61834390383
-6593.49639338212,-6643.206673050723,-6621.212556506701,-6680.288217102077,-125792.30973628876,-147000.76246270686,-125148.33362678692,-146310.40648346025
-6604.359341187399,-6650.962728376714,-6626.554623431519,-6684.199772381756,-125795.03664911231,-147002.68471273003,-125148.288923298,-146308.95362007065
-6603.957009787204,-6649.822789409493,-6624.922946086282,-6682.1657636363225,-125793.24850955588,-147000.47189002894,-125145.67376919673,-146306.00318980255
-6591.2388671921335,-6640.256242782622,-6617.613925649396,-6676.242551355666,-125789.98515486541,-146998.12495686114,-125145.18203081872,-146306.8972595808
-6590.747128814117,-6640.725629416183,-6618.8879750833485,-6678.097746145457,-125793.36026827816,-147001.88004992963,-125149.65237970978,-146311.74758812756
-6602.392387675332,-6649.50986498712,-6625.593498419941,-6683.41746132582,-125797.78591368032,-147005.36692206466,-125151.41816752174,-146312.2393265056
-6608.40500693381,-6654.024917367091,-6629.013315321603,-6686.166725893823,-125800.22225382594,-147007.33387557673,-125152.42399602223,-146312.55225092795
-6596.089195738936,-6644.45837074022,-6621.324315228977,-6679.841182212971,-125796.17658807953,-147004.22698309744,-125150.90407739927,-146312.1946230167
-6589.294265424522,-6639.608042193418,-6617.859794838405,-6677.2260281117,-125795.46133225696,-147004.09287263072,-125151.95460938867,-146313.9827625731
-6599.598419618419,-6647.431152752776,-6623.961821074703,-6682.121060147412,-125799.68581195902,-147007.51268953236,-125153.92156290074,-146314.80977711795
-6605.454576665709,-6651.208597565723,-6626.040533309047,-6683.171592136811,-125800.13284684812,-147007.19976511,-125152.22283032213,-146312.32873348342
-6594.770442816072,-6642.625527694885,-6619.111492527902,-6677.337786833977,-125796.15423633507,-147003.86935518615,-125150.14411808779,-146311.3452567274
-6585.740338056128,-6636.009411336114,-6614.3058674700105,-6673.716804232216,-125794.7907799233,-147003.31056157476,-125151.28405705502,-146313.37926547282
-6593.87637303786,-6642.402010250332,-6619.35736171691,-6677.807173467538,-125798.61292822516,-147006.5962680097,-125153.47452801163,-146314.67566665122
-6601.967704530681,-6647.833484152971,-6622.732475129661,-6679.952940935247,-125799.84227417021,-147007.04330289882,-125152.04401636649,-146312.14991952776
-6595.239829449633,-6642.670231183795,-6618.597402405429,-6676.555475778041,-125798.00943112487,-147005.5457360203,-125151.55227798848,-146312.37343697232
-6584.332178155444,-6634.757713646617,-6612.808300591505,-6672.107478631435,-125796.08718110171,-147004.4952040309,-125152.46869951114,-146314.42979746222
-6589.897762524815,-6639.093952070946,-6616.317524470988,-6675.102612388446,-125799.19407358099,-147007.33387557673,-125154.54741174549,-146316.06147480744
-6600.492489396631,-6646.559434719019,-6621.480777440164,-6678.969464179214,-125801.87628291563,-147009.07731164424,-125154.30154255648,-146314.49685269556
-6594.792794560528,-6641.798513150038,-6617.099835526924,-6674.901446688348,-125798.99290788091,-147006.23864009843,-125151.90990589977,-146312.46284395014
-6581.605265331897,-6631.784931634061,-6609.410835434299,-6668.620606496407,-125795.43898051251,-147003.71289297496,-125151.35111228838,-146313.26750675053
-6585.002730489103,-6634.69065841325,-6612.07069302448,-6671.1240018754015,-125798.54587299179,-147006.7974337098,-125154.1897838342,-146316.06147480744
-6594.2563526936,-6640.8373881384605,-6615.870489581882,-6673.381528065387,-125799.73051544793,-147006.88684068763,-125152.2898855555,-146312.70871313915
-6592.982303259648,-6639.585690448963,-6614.551736659019,-6671.973368164703,-125798.83644566972,-147005.99277090942,-125151.26170531055,-146311.6805328942
-6581.269989165067,-6631.114379300401,-6608.44971042272,-6667.458315784731,-125796.86949215764,-147005.0539976423,-125152.40164427778,-146314.11687303983
-6579.303035653,-6629.572108932985,-6607.242716222134,-6666.586597750974,-125797.0930096022,-147005.38927380912,-125153.11690010034,-146315.07799805142
-6590.724777069661,-6637.88695787036,-6613.255335480611,-6671.146353619856,-125800.69164045951,-147007.91502093256,-125153.72039720064,-146314.27333525103
-6591.171811958768,-6637.484626470164,-6612.204803491212,-6669.581731507985,-125799.21642532546,-147006.17158486505,-125151.26170531055,-146311.4346637052
-6578.766593786072,-6628.231004265667,-6605.096948754424,-6663.882036671882,-125795.95307063498,-147003.91405867506,-125150.85937391037,-146312.35108522786
-6576.106736195891,-6626.956954831714,-6604.582858631952,-6664.060850627524,-125797.69650670249,-147006.01512265386,-125153.94391464519,-146315.86030910735
-6586.545000856519,-6634.422437479787,-6610.0813877679575,-6668.240626840667,-125801.00456488188,-147008.47381454395,-125154.70387395668,-146315.4356259627
-6590.389500902832,-6636.657611925318,-6611.131919757357,-6668.352385562943,-125800.84810267069,-147007.66915174355,-125152.89338265579,-146312.8875270948
-6577.7384135411285,-6626.688733898251,-6602.97353303117,-6661.535103504075,-125796.19893982398,-147003.89170693062,-125150.74761518808,-146311.8816985943
-6570.094116937414,-6620.899632084326,-6598.659646351296,-6658.294100558055,-125794.96959387895,-147003.26585808586,-125151.41816752174,-146313.37926547282
-6579.727718797651,-6628.231004265667,-6604.202878976212,-6662.764449449116,-125798.88114915862,-147006.39510230962,-125153.1392518448,-146314.02746606202
-6584.980378744648,-6631.3155450005,-6605.543983643531,-6662.9656151492145,-125798.36705903616,-147005.16575636456,-125150.41233902125,-146310.294724738
-6574.63152106184,-6623.000696063125,-6598.681998095751,-6657.1541615908345,-125794.47785550093,-147002.08121562973,-125148.40068202028,-146309.22184100412
-6568.753012270095,-6619.759693117106,-6597.318541683977,-6656.997699379647,-125796.71302994646,-147004.94223892002,-125153.02749312253,-146314.89918409576
-6575.704404795695,-6624.967649575192,-6601.341855685932,-6660.193998836756,-125799.84227417021,-147007.44563429902,-125154.5921152344,-146315.61443991834
-6582.9016665103045,-6629.281536255066,-6603.599381875919,-6661.155123848334,-125799.81992242574,-147006.61861975415,-125152.02166462204,-146311.85934684984
-6574.519762339564,-6622.352495473921,-6597.609114361896,-6655.857760412427,-125795.90836714607,-147003.10939587466,-125149.27240005403,-146309.7359311266
-6565.44495409071,-6616.295172726533,-6593.719910826673,-6653.354365033432,-125795.95307063498,-147004.09287263072,-125152.17812683323,-146313.87100385083
-6570.384689615333,-6620.296134984033,-6596.938562028237,-6656.237740068167,-125799.10466660318,-147006.953895921,-125154.4356530232,-146315.68149515172
-6580.219457175667,-6626.934603087259,-6601.431262663754,-6659.098763358446,-125800.91515790406,-147007.93737267703,-125153.38512103382,-146313.44632070616
-6574.810335017483,-6622.1736815182785,-6597.072672494969,-6654.918987145304,-125797.67415495803,-147004.8975354311,-125150.5911529769,-146310.92057358273
-6563.567407556464,-6614.1270535143685,-6591.395329403321,-6650.783914421072,-125796.22129156844,-147004.33874181972,-125152.04401636649,-146313.7368933841
-6565.6461197908075,-6616.049303537525,-6593.228172448657,-6652.572053977497,-125798.76939043634,-147006.81978545425,-125154.48035651213,-146315.97206782963
-6574.58681757293,-6621.838405351449,-6596.73739632814,-6654.471952256197,-125799.66346021456,-147006.73037847644,-125152.40164427778,-146312.52989918352
-6572.642215805318,-6619.759693117106,-6594.345759671422,-6652.035612110569,-125797.60709972467,-147004.6516662421,-125150.05471110997,-146310.0935590379
-6562.271006378056,-6612.629486635863,-6589.473079380165,-6648.7052021867285,-125796.93654739101,-147004.91988717555,-125152.26753381104,-146313.82630036192
